,poster_image,title,year,rating
10,"https://m.media-amazon.com/images/M/MV5BZDQxMjg4MWUtZGUyNS00NTMzLWExNmItMGYwNzI4NWM3YjQ2XkEyXkFqcGdeQXVyMTUzMTg2ODkz._V1_UY67_CR4,0,45,67_AL_.jpg",Одержимість,2023,5.1
11,"https://m.media-amazon.com/images/M/MV5BZjU5OGI4NjMtZDlmNy00YzBiLWEzMTgtYWU0MDBlOTdkYjM3XkEyXkFqcGdeQXVyMTYyMTg2OTY0._V1_UY67_CR4,0,45,67_AL_.jpg",За океан,2023,6.5
12,"https://m.media-amazon.com/images/M/MV5BYTRiNDQwYzAtMzVlZS00NTI5LWJjYjUtMzkwNTUzMWMxZTllXkEyXkFqcGdeQXVyNDIzMzcwNjc@._V1_UY67_CR2,0,45,67_AL_.jpg",Гра престолів,2011,9.2
13,"https://m.media-amazon.com/images/M/MV5BOGFiZjU5NGEtNTAwNS00ZjI2LTg0YTktNjg0ODFlM2E0NGVhXkEyXkFqcGdeQXVyMzQ2MDI5NjU@._V1_UX45_CR0,0,45,67_AL_.jpg",Єллоустоун,2018,8.7
14,"https://m.media-amazon.com/images/M/MV5BYmQ4YWMxYjUtNjZmYi00MDQ1LWFjMjMtNjA5ZDdiYjdiODU5XkEyXkFqcGdeQXVyMTMzNDExODE5._V1_UX45_CR0,0,45,67_AL_.jpg",Пуститися берега,2008,9.5
15,"https://m.media-amazon.com/images/M/MV5BYWJhYWQ4NzUtMjEyYy00NGYxLTgyNzctMTRhMTQ4YTVlNTBjXkEyXkFqcGdeQXVyMTMwMzY2NDAx._V1_UY67_CR0,0,45,67_AL_.jpg",Rabbit Hole,2023,7.6
16,"https://m.media-amazon.com/images/M/MV5BZmU5NTcwNjktODIwMi00ZmZkLTk4ZWUtYzVjZWQ5ZTZjN2RlXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_UX45_CR0,0,45,67_AL_.jpg",І мертві підуть,2010,8.1
17,"https://m.media-amazon.com/images/M/MV5BNWY4MmRiMjktZTBhYS00YzkyLWFlMDgtNzQ4ZGViZDNiZWE3XkEyXkFqcGdeQXVyMjExMjk0ODk@._V1_UY67_CR11,0,45,67_AL_.jpg",Чому не Еванс?,2022,7.1
18,"https://m.media-amazon.com/images/M/MV5BNDdkY2EwNTgtYTljYy00YmRiLWFiNWItMTZhZDdlMWM2MGY2XkEyXkFqcGdeQXVyNTE1NjY5Mg@@._V1_UY67_CR0,0,45,67_AL_.jpg",Daisy Jones & The Six,2023,8.1
19,"https://m.media-amazon.com/images/M/MV5BMmRlYmE0Y2UtNDk2Yi00NzczLWEwZTEtZmE2OTcyYzcxYmU5XkEyXkFqcGdeQXVyNTMxMjgxMzA@._V1_UY67_CR1,0,45,67_AL_.jpg",Справжній детектив,2014,8.9
20,"https://m.media-amazon.com/images/M/MV5BOWFjODRhMDktMTE3My00ODQzLThmODctYmM2ZmU5YmY0ZGVkXkEyXkFqcGdeQXVyMjkwOTAyMDU@._V1_UX45_CR0,0,45,67_AL_.jpg",Дивовижна місіс Мейзел,2017,8.7
21,"https://m.media-amazon.com/images/M/MV5BYzhjMDIwOTgtYmMwNC00ZDIyLWJiMzUtMDM0YTY3M2VmOWNiXkEyXkFqcGdeQXVyMjkwOTAyMDU@._V1_UX45_CR0,0,45,67_AL_.jpg",Правдива терапія,2023,8.1
22,"https://m.media-amazon.com/images/M/MV5BZDZjZDA5YjUtZDVjYS00YWI4LTlhZTctYTZkMjg5YTQ1MGM0XkEyXkFqcGdeQXVyMTU5OTc2NTk@._V1_UY67_CR4,0,45,67_AL_.jpg",Tiny Beautiful Things,2023,7.3
23,"https://m.media-amazon.com/images/M/MV5BODA2Mjk0N2MtNGY0Mi00ZWFjLTkxODEtZDFjNDg4ZDliMGVmXkEyXkFqcGdeQXVyMzAzNTY3MDM@._V1_UY67_CR0,0,45,67_AL_.jpg",Анатомія Грей,2005,7.6
24,"https://m.media-amazon.com/images/M/MV5BYzE2MzRiMmYtYWEwZC00ZmQ0LWIyY2EtM2Q0ZmJlZjEyZDZlXkEyXkFqcGdeQXVyMTEyMjM2NDc2._V1_UY67_CR0,0,45,67_AL_.jpg",Людина з Флориди,2023,6.8
25,"https://m.media-amazon.com/images/M/MV5BOTY0ZjliOGUtMDFiZS00YzcwLWFiZWYtMzg4MWZkMWIwYzYwXkEyXkFqcGdeQXVyMTUzMTg2ODkz._V1_UY67_CR0,0,45,67_AL_.jpg",Тінь і кістка,2021,7.6
26,"https://m.media-amazon.com/images/M/MV5BMjE1MzYzNjk3OF5BMl5BanBnXkFtZTgwMzk0MzYwNzE@._V1_UX45_CR0,0,45,67_AL_.jpg",Останнє Королівство,2015,8.5
27,"https://m.media-amazon.com/images/M/MV5BYjdjNzBmYjEtM2Y5My00YjI0LWJjY2YtOGQ4MjNkNmE2MDVjXkEyXkFqcGdeQXVyMTEyMjM2NDc2._V1_UY67_CR0,0,45,67_AL_.jpg",Білий лотос,2021,7.9
28,"https://m.media-amazon.com/images/M/MV5BYjYxYzQ3YWQtYzc0ZS00YjcyLWJiZWYtMmVmYjc1ZjcwYTZkXkEyXkFqcGdeQXVyOTMyODgwOTQ@._V1_UX45_CR0,0,45,67_AL_.jpg",Blue Lights,2023,8.2
29,"https://m.media-amazon.com/images/M/MV5BZDRlMmU2MGItMjRkZC00MDI0LWE4ZWItMzBjNDQ4MTNkOTA2XkEyXkFqcGdeQXVyMTUyNjc3NDQ4._V1_UY67_CR0,0,45,67_AL_.jpg",The Penguin,2024,Without rating
30,"https://m.media-amazon.com/images/M/MV5BZTEzZjA2MGMtN2E3NC00NGFkLTlkMjItOTU2ZmRkM2FlNmYzXkEyXkFqcGdeQXVyMTA3MTI2ODc5._V1_UX45_CR0,0,45,67_AL_.jpg","Останнє, що він сказав мені",2023,7.0
31,"https://m.media-amazon.com/images/M/MV5BMTU1OTdjYTUtMzA2MS00Njg4LWI1NTctMWUzYzNkNmQ5YWY3XkEyXkFqcGdeQXVyMTUwMzM5ODkz._V1_UY67_CR0,0,45,67_AL_.jpg",Чорний список,2013,8.0
32,"https://m.media-amazon.com/images/M/MV5BNGZjZDc3NjAtYjI1OC00NWUzLWIxOWItNzUyODc5NDIwMWRjXkEyXkFqcGdeQXVyNTQ4ODA2NzQ@._V1_UY67_CR4,0,45,67_AL_.jpg",Ти,2018,7.7
33,"https://m.media-amazon.com/images/M/MV5BYTIxNjk3YjItYmYzMC00ZTdmLTk0NGUtZmNlZTA0NWFkZDMwXkEyXkFqcGdeQXVyNjAwNDUxODI@._V1_UX45_CR0,0,45,67_AL_.jpg","Клинок, який знищує демонів",2019,8.7
34,"https://m.media-amazon.com/images/M/MV5BZDA4YmE0OTYtMmRmNS00Mzk2LTlhM2MtNjk4NzBjZGE1MmIyXkEyXkFqcGdeQXVyMTMzNDExODE5._V1_UX45_CR0,0,45,67_AL_.jpg",Краще подзвоніть Солу,2015,8.9
35,"https://m.media-amazon.com/images/M/MV5BMDZkYmVhNjMtNWU4MC00MDQxLWE3MjYtZGMzZWI1ZjhlOWJmXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_UY67_CR4,0,45,67_AL_.jpg",Дивні дива,2016,8.7
36,"https://m.media-amazon.com/images/M/MV5BYWFlOTlhZDQtNDYyYi00ODE4LTlkMzgtNDk4MzFlODk0OTQ5XkEyXkFqcGdeQXVyMTQyMTMwOTk0._V1_UY67_CR1,0,45,67_AL_.jpg",Unstable,2023,6.8
37,"https://m.media-amazon.com/images/M/MV5BOTY5OWFmMzAtZTIxYi00NGM4LTk3YWMtY2MyYzMwOWVhZWM0XkEyXkFqcGdeQXVyMzAzNTY3MDM@._V1_UY67_CR4,0,45,67_AL_.jpg",Новобранець,2018,8.0
38,"https://m.media-amazon.com/images/M/MV5BNTY1ZTYzN2ItNzQ4NS00ZmM1LWEzODEtMTM1YzNmNThmY2MxXkEyXkFqcGdeQXVyMDM2NDM2MQ@@._V1_UY67_CR0,0,45,67_AL_.jpg",The Continental: From the World of John Wick,2023,Without rating
39,"https://m.media-amazon.com/images/M/MV5BZDQxNTcyNTgtZTdlMC00NmRiLTllNDYtZmQyODkwNzU2OTMzXkEyXkFqcGdeQXVyMjkwOTAyMDU@._V1_UY67_CR0,0,45,67_AL_.jpg",Перрі Мейсон,2020,7.6
40,"https://m.media-amazon.com/images/M/MV5BOTEyNDJhMDAtY2U5ZS00OTMzLTkwODktMjU3MjFkZWVlMGYyXkEyXkFqcGdeQXVyMjkwOTAyMDU@._V1_UY67_CR4,0,45,67_AL_.jpg",Хлопаки,2019,8.7
41,"https://m.media-amazon.com/images/M/MV5BNDFjYTIxMjctYTQ2ZC00OGQ4LWE3OGYtNDdiMzNiNDZlMDAwXkEyXkFqcGdeQXVyNzI3NjY3NjQ@._V1_UY67_CR2,0,45,67_AL_.jpg",Атака титанів,2013,9.0
42,"https://m.media-amazon.com/images/M/MV5BZjNhODYzZGItZWQ3Ny00ZjViLTkxMTUtM2EzN2RjYjU2OGZiXkEyXkFqcGdeQXVyMTI5MTc0OTIy._V1_UX45_CR0,0,45,67_AL_.jpg",Південний Парк,1997,8.7
43,"https://m.media-amazon.com/images/M/MV5BNDY5NzNlMWItMmFiYy00NjU1LWFhYTAtOWNhYjI2NDViNTZmXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_UY67_CR0,0,45,67_AL_.jpg",Баррі,2018,8.4
44,"https://m.media-amazon.com/images/M/MV5BZGJjYzhjYTYtMDBjYy00OWU1LTg5OTYtNmYwOTZmZjE3ZDdhXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_UY67_CR1,0,45,67_AL_.jpg",Клан Сопрано,1999,9.2
45,"https://m.media-amazon.com/images/M/MV5BY2NlYjZiYjItNTljNy00MzU2LWJkYmMtMjNkMWVjYmYwMzExXkEyXkFqcGdeQXVyMTEyMjM2NDc2._V1_UY67_CR0,0,45,67_AL_.jpg",Секс/Життя,2021,5.5
46,"https://m.media-amazon.com/images/M/MV5BMDNkOTE4NDQtMTNmYi00MWE0LWE4ZTktYTc0NzhhNWIzNzJiXkEyXkFqcGdeQXVyMzQ2MDI5NjU@._V1_UX45_CR0,0,45,67_AL_.jpg",Офіс,2005,9.0
